iter	Passed	Remaining
871	9355	1373
872	9366	1362
873	9376	1351
874	9387	1341
875	9398	1330
876	9410	1319
877	9420	1309
878	9431	1298
879	9441	1287
880	9454	1277
881	9464	1266
882	9474	1255
883	9484	1244
884	9495	1233
885	9505	1223
886	9516	1212
887	9526	1201
888	9537	1190
889	9547	1180
890	9558	1169
891	9569	1158
892	9580	1147
893	9590	1137
894	9601	1126
895	9612	1115
896	9623	1104
897	9633	1094
898	9645	1083
899	9657	1073
900	9666	1062
901	9677	1051
902	9688	1040
903	9698	1029
904	9708	1019
905	9718	1008
906	9728	997
907	9738	986
908	9749	975
909	9760	965
910	9770	954
911	9780	943
912	9791	933
913	9801	922
914	9812	911
915	9823	900
916	9833	890
917	9843	879
918	9853	868
919	9863	857
920	9874	846
921	9884	836
922	9894	825
923	9905	814
924	9915	803
925	9926	793
926	9936	782
927	9947	771
928	9957	761
929	9968	750
930	9978	739
931	9988	728
932	9999	718
933	10010	707
934	10020	696
935	10030	685
936	10069	677
937	10080	666
938	10090	655
939	10100	644
940	10110	633
941	10121	623
942	10131	612
943	10141	601
944	10152	590
945	10162	580
946	10172	569
947	10182	558
948	10192	547
949	10202	536
950	10212	526
951	10221	515
952	10231	504
953	10242	493
954	10252	483
955	10262	472
956	10272	461
957	10283	450
958	10293	440
959	10304	429
960	10314	418
961	10324	407
962	10335	397
963	10345	386
964	10356	375
965	10366	364
966	10377	354
967	10389	343
968	10400	332
969	10410	321
970	10422	311
971	10433	300
972	10442	289
973	10452	279
974	10462	268
975	10473	257
976	10483	246
977	10493	236
978	10504	225
979	10514	214
980	10525	203
981	10535	193
982	10545	182
983	10555	171
984	10565	160
985	10577	150
986	10588	139
987	10599	128
988	10609	118
989	10620	107
990	10629	96
991	10640	85
992	10650	75
993	10661	64
994	10671	53
995	10682	42
996	10692	32
997	10703	21
998	10713	10
999	10723	0
